NSID	Designweight	SampPSU	SampStratum	IndSchool	W1FinWt	w1intmonthMP	w1intyearMP	w1intmonthSP	w1intyearSP	W1mainres	W1kidskolMP	W1qualprgMP	W1qualdecMP	W1qualintMP	W1qualdisMP	W1qualrelMP	W1pareveMP	W1tmeetfMP	W1tspeakMP	W1schlifMP	W1repred1MP	W1repred2MP	W1schactMP0a	W1schactMP0b	W1schactMP0c	W1schactMP0d	W1schactMP0e	W1schactMP0f	W1schactMP0g	W1schactMP0h	W1schactMP0i	W1schactMP0j	W1schactMP0k	W1schactMP0l	W1schactMP0m	W1teawelMP	W1teacleaMP	W1teainvMP	W1teachelMP	W1extrtu1MP	W1extrtu2MP0a	W1extrtu2MP0b	W1extrtu2MP0c	W1extrtu2MP0d	W1extrtu2MP0e	W1extrtu2MP0f	W1extrtu2MP0g	W1extrtu2MP0h	W1extrtu2MP0i	W1extrtu2MP0j	W1extrtu2MP0k	W1extrtu2MP0l	W1extrtu2MP0m	W1extrtu2MP0n	W1extrtu3MP	W1extrtu4MP	W1extrtu5MP0a	W1extrtu5MP0b	W1extrtu5MP0c	W1extrtu5MP0d	W1extrtu5MP0e	W1extrtu5MP0f	W1extrtu5MP0g	W1extrtu5MP0h	W1extrtu5MP0i	W1extrtu5MP0j	W1extrtu5MP0k	W1extrtu5MP0l	W1extrtu5MP0m	W1extrtu5MP0n	W1extrtu6MP	W1y10choiMP	W1subjch8MP	W1subcho9MP	W1y10satMP	W1y10futMP	W1pattintMP	W1subjcho1MP	W1patt1MP	W1patt2MP	W1patt3MP	W1parasp2MP	W1parasp1MP	W1jobdiscMP	W1fefinMP0a	W1fefinMP0b	W1fefinMP0c	W1fefinMP0d	W1fefinMP0e	W1fefinMP0f	W1fefinMP0g	W1fefinMP0h	W1fefn2MP0a	W1fefn2MP0b	W1fefn2MP0c	W1fefn2MP0d	W1fefn2MP0e	W1fefn2MP0f	W1fefn2MP0g	W1fefn2MP0h	W1fefn2MP0i	W1fefn2MP0j	W1hepossMP	W1henotMP0a	W1henotMP0b	W1henotMP0c	W1henotMP0d	W1henotMP0e	W1henotMP0f	W1henotMP0g	W1henotMP0h	W1henotMP0i	W1henotMP0j	W1hepfinMP	W1heffinMP	W1whopresMP0a	W1whopresMP0b	W1whopresMP0c	W1whopresMP0d	W1whopresMP0e	W1whopresMP0f	W1state1HS	W1StascHS0a	W1StascHS0b	W1StascHS0c	W1StascHS0d	W1StascHS0e	W1StascHS0f	W1StascHS0g	W1StascHS0h	W1StascHS0i	W1StascHS0j	W1StascHS0k	W1StascHS0l	W1StascHS0m	W1StascHS0n	W1StascHS0o	W1StascHS0p	W1StascHS0q	W1StascHS0r	W1StascHS0s	W1StascHS0t	W1StascHS0u	W1StascHS0v	W1StascHS0w	W1StascHS0x	W1StascHS0y	W1StascHS0z	W1StascHSaa	W1StascHSab	W1StascHSac	W1StascHSad	W1StascHSae	W1StascHSaf	W1StascHSag	W1StascHSah	W1StascHSai	W1StascHSaj	W1StascHSak	W1StascHSal	W1StascHSam	W1StascHSan	W1StascHSao	W1StascHSap	W1StascHSaq	W1StascHSar	W1StascHSas	W1StascHSat	W1StascHSau	W1StascHSav	W1StascHSaw	W1StascHSax	W1StascHSay	W1StascHSaz	W1StascHSba	W1YNtApHS0a	W1YNtApHS0b	W1YNtApHS0c	W1YNtApHS0d	W1YNtApHS0e	W1YNtApHS0f	W1YNtApHS0g	W1YNtApHS0h	W1YNtApHS0i	W1YNtApHS0j	W1YNtApHS0k	W1YNtApHS0l	W1YNtApHS0m	W1YNtApHS0n	W1YNtApHS0o	W1YNtApHS0p	W1YNtApHS0q	W1YNtApHS0r	W1YNtApHS0s	W1YNtApHS0t	W1YNtApHS0u	W1YNtApHS0v	W1YNtApHS0w	W1YNtApHS0x	W1YNtApHS0y	W1YNtApHS0z	W1YNtApHSaa	W1YNtApHSab	W1YNtApHSac	W1YNtApHSad	W1YNtApHSae	W1YNtApHSaf	W1YNtApHSag	W1YNtApHSah	W1YNtApHSai	W1YNtApHSaj	W1YNtApHSak	W1YNtApHSal	W1YNtApHSam	W1YNtApHSan	W1YNtApHSao	W1YNtApHSap	W1YNtApHSaq	W1YNtApHSar	W1YNtApHSas	W1YNtApHSat	W1YNtApHSau	W1YNtApHSav	W1YNtApHSaw	W1YNtApHSax	W1WhyBeHS0a	W1WhyBeHS0b	W1WhyBeHS0c	W1WhyBeHS0d	W1WhyBeHS0e	W1WhyBeHS0f	W1WhyBeHS0g	W1WhyBeHS0h	W1WhyBeHS0i	W1WhyBeHS0j	W1WhyBeHS0k	W1WhyBeHS0l	W1WhyBeHS0m	W1WhyBeHS0n	W1WhyBeHS0o	W1WhyBeHS0p	W1WhyBeHS0q	W1WhyBeHS0r	W1WhyBeHS0s	W1WhyBeHS0t	W1WhyBeHS0u	W1WhyBeHS0v	W1WhyBeHS0w	W1WhyBeHS0x	W1WhyBeHS0y	W1WhyBeHS0z	W1WhyBeHSaa	W1WhyBeHSab	W1WhyBeHSac	W1WhyBeHSad	W1WhyBeHSae	W1WhyBeHSaf	W1WhyBeHSag	W1WhyBeHSah	W1WhyBeHSai	W1WhyBeHSaj	W1WhyBeHSak	W1WhyBeHSal	W1WhyBeHSam	W1WhyBeHSan	W1WhyBeHSao	W1WhyBeHSap	W1WhyBeHSaq	W1WhyBeHSar	W1WhyBeHSas	W1WhyBeHSat	W1WhyBeHSau	W1WhyBeHSav	W1WhatiHS0a	W1WhatiHS0b	W1WhatiHS0c	W1WhatiHS0d	W1WhatiHS0e	W1WhatiHS0f	W1WhatiHS0g	W1WhatiHS0h	W1WhatiHS0i	W1WhatiHS0j	W1WhatiHS0k	W1WhatiHS0l	W1WhatiHS0m	W1WhatiHS0n	W1WhatiHS0o	W1WhatiHS0p	W1WhatiHS0q	W1WhatiHS0r	W1WhatiHS0s	W1WhatiHS0t	W1WhatiHS0u	W1WhatiHS0v	W1WhatiHS0w	W1WhatiHS0x	W1WhatiHS0y	W1WhatiHS0z	W1WhatiHSaa	W1WhatiHSab	W1WhatiHSac
NS21691M	.910858016413897	13407	134	0	.996383898964535	7	2004	-91	-91	2	1	1	1	1	1	1	2	1	3	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	1	1	2	2	1	4	2	1	1	1	1	1	-91	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	-91	-91	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS20307Q	1.36628717976343	10843	108	0	1.18906741579928	6	2004	-91	-91	2	2	1	2	2	1	1	3	1	4	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	3	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	2	1	1	3	1	1	3	1	1	1	-91	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	-91	-91	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS25296R	.296052729323898	12342	123	0	.337288863904583	6	2004	6	2004	2	2	2	1	2	3	2	1	1	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	1	2	2	4	2	3	3	2	2	2	-91	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	-91	-91	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS22063N	1.36628717976343	12536	125	0	1.23727737627523	5	2004	5	2004	2	2	2	2	2	2	2	3	2	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	2	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-1	1	1	-1	-1	1	1	1	1	1	1	1	-91	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	2	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NS19212D	1.36628717976343	11807	118	0	1.4169662643383	5	2004	5	2004	2	2	2	1	2	5	1	2	2	3	2	2	-91	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	1	3	3	-1	3	1	4	1	3	3	-91	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	1	0	1	0	0	0	0	0	0	0	-91	-91	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NS15354D	1.36628717976343	11040	110	0	1.52168706395961	4	2004	-91	-91	2	4	1	2	2	2	2	2	2	4	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	2	2	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	1	1	1	2	4	3	1	1	1	1	-91	0	1	1	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	2	0	0	0	0	1	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS22134H	.246782112898629	13409	134	0	.253420524493554	4	2004	4	2004	2	1	2	2	2	1	1	1	2	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	2	-91	2	1	4	3	1	1	1	1	1	-91	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	2	0	1	0	0	0	0	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS20967W	1.36628717976343	11447	114	0	1.3238474652264	4	2004	4	2004	2	1	1	2	2	1	1	1	2	4	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	2	1	2	2	2	2	2	1	1	-1	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS21133L	1.24493390763425	10201	102	1	1.97911360108633	6	2004	6	2004	3	1	1	1	1	2	2	1	2	5	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	2	-1	4	1	1	1	1	1	-91	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	2	0	0	1	0	0	0	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS15745T	1.36628717976343	12528	125	0	1.35127230866244	5	2004	5	2004	2	2	2	1	5	1	2	1	2	5	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	1	2	1	3	4	1	1	1	1	1	-91	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	-91	-91	0	1	0	0	0	0	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS23227P	.246782112898629	13802	138	0	.306637014111432	7	2004	7	2004	2	2	3	1	2	4	3	2	2	5	3	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	1	2	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	1	1	1	2	2	1	2	1	1	1	-91	1	1	0	0	0	0	0	0	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	2	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS14687B	1.36628717976343	11745	117	0	1.27367948603221	7	2004	7	2004	2	2	2	2	2	2	1	1	1	4	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	3	3	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	1	2	3	3	2	2	2	1	2	2	-91	0	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	3	1	0	1	0	0	0	0	0	0	0	-91	-91	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS12799J	.296052729323898	10804	108	0	.312159063781671	4	2004	-91	-91	2	1	2	1	1	1	1	2	2	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	1	2	2	2	2	1	3	1	1	1	-91	0	1	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	2	1	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS11648M	.91085811984229	13109	131	0	.910769491947174	5	2004	-91	-91	-999	1	1	1	1	2	2	2	2	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	2	1	1	-1	2	1	2	1	1	1	-91	1	0	0	0	0	0	0	0	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	2	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
